Line;Name;names.bridges;latitude;longitude;bridge_part;material ;condition;year_1;year_2;year_3;year_4;year_5;year_6;year_7;year_8;year_9;year_10;year_11;year_12;year_13;year_14;year_15
260;PU Suberg;PU Suberg;47.05887829;7.339414412;abutment;concrete;0.00;0.02;0.07;0.14;0.22;0.30;0.39;0.47;0.54;0.61;0.00;0.00;0.00;0.00;0.01;
260;PU Suberg;PU Suberg;47.05887829;7.339414412;bearings;concrete;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.39;0.37;0.35;0.33;0.31;
260;PU Suberg;PU Suberg;47.05887829;7.339414412;bearings;concrete;1.00;0.93;0.86;0.80;0.75;0.70;0.65;0.60;0.56;0.52;0.55;0.53;0.51;0.49;0.48;
260;PU Suberg;PU Suberg;47.05887829;7.339414412;bearings;concrete;0.00;0.07;0.12;0.17;0.20;0.22;0.24;0.25;0.25;0.25;0.06;0.09;0.11;0.13;0.15;
260;PU Suberg;PU Suberg;47.05887829;7.339414412;bearings;concrete;0.00;0.00;0.01;0.02;0.04;0.06;0.08;0.09;0.10;0.11;0.00;0.01;0.02;0.03;0.04;
260;PU Suberg;PU Suberg;47.05887829;7.339414412;bearings;concrete;0.00;0.00;0.00;0.00;0.01;0.02;0.04;0.06;0.09;0.11;0.00;0.00;0.00;0.01;0.02;
260;SU Brueggstrasse Sued;SU Brueggstrasse Sued;47.12978815;7.254029386;abutment;composite;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.84;0.80;0.75;0.71;
260;SU Brueggstrasse Sued;SU Brueggstrasse Sued;47.12978815;7.254029386;abutment;composite;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.16;0.20;0.24;0.28;
260;SU Brueggstrasse Sued;SU Brueggstrasse Sued;47.12978815;7.254029386;abutment;composite;1.00;0.89;0.79;0.70;0.62;0.56;0.49;0.44;0.39;0.35;0.31;0.00;0.00;0.01;0.01;
260;SU Brueggstrasse Sued;SU Brueggstrasse Sued;47.12978815;7.254029386;abutment;composite;0.00;0.11;0.19;0.25;0.30;0.32;0.34;0.35;0.35;0.34;0.33;0.00;0.00;0.00;0.00;
260;SU Brueggstrasse Sued;SU Brueggstrasse Sued;47.12978815;7.254029386;abutment;composite;0.00;0.00;0.02;0.04;0.08;0.12;0.17;0.21;0.26;0.31;0.36;0.00;0.00;0.00;0.00;
260;SU Brueggstrasse Sued;SU Brueggstrasse Sued;47.12978815;7.254029386;bearings;composite;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
260;SU Brueggstrasse Sued;SU Brueggstrasse Sued;47.12978815;7.254029386;bearings;composite;1.00;0.98;0.96;0.94;0.92;0.90;0.88;0.87;0.85;0.83;0.81;0.80;0.78;0.76;0.75;
260;SU Brueggstrasse Sued;SU Brueggstrasse Sued;47.12978815;7.254029386;bearings;composite;0.00;0.02;0.04;0.05;0.07;0.08;0.09;0.10;0.10;0.11;0.11;0.12;0.12;0.12;0.13;
260;SU Brueggstrasse Sued;SU Brueggstrasse Sued;47.12978815;7.254029386;bearings;composite;0.00;0.00;0.00;0.01;0.01;0.02;0.02;0.03;0.04;0.04;0.05;0.05;0.06;0.07;0.07;
260;SU Brueggstrasse Sued;SU Brueggstrasse Sued;47.12978815;7.254029386;bearings;composite;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.01;0.02;0.02;0.03;0.04;0.05;0.06;
260;SU Leueren Blaumatt;SU Leueren Blaumatt;47.07046788;7.311366951;abutment;composite;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.36;0.28;0.21;0.16;0.13;
